,Time(s),Flow_Rate(ml/m),Pressure_Drop
53,5.3,568.8497679999999,-0.3624999999999994
54,5.4,573.489293,0.9750000000000044
55,5.5,585.038749,-0.056250000000002076
56,5.6,574.673853,1.0874999999999977
57,5.7,580.103084,0.30624999999999725
58,5.8,580.6953639999999,-0.1374999999999993
59,5.9,566.5793620000001,1.0937499999999987
60,6.0,570.231754,0.32499999999999973
61,6.1,568.8497679999999,0.09999999999999976
62,6.2,562.63083,0.7812500000000004
63,6.3,560.755277,-0.1437499999999973
64,6.4,555.1286190000001,1.0312500000000013
65,6.5,556.708032,-0.3249999999999998
66,6.6,557.300312,0.8687500000000016
67,6.7,560.656564,0.7187500000000031
68,6.8,559.768144,-0.318749999999999
69,6.9,554.7337660000001,0.9187500000000026
70,7.0,564.012816,0.46875000000000244
71,7.1,565.690942,0.35625000000000107
72,7.2,561.051417,0.6124999999999998
73,7.3,564.999949,-0.2249999999999973
74,7.4,558.781011,1.0000000000000027
75,7.5,564.012816,0.6874999999999936
76,7.6,564.506383,-0.3187499999999934
77,7.7,561.841124,0.9312500000000041
78,7.8,568.751055,0.3999999999999987
79,7.9,567.763922,-0.356250000000004
80,8.0,561.841124,0.9937500000000017
81,8.1,569.738188,0.26875000000000315
82,8.2,571.120174,-0.0437500000000004
83,8.3,565.098662,0.718749999999998
84,8.4,568.948481,0.4562500000000037
85,8.5,570.034327,0.5124999999999975
86,8.6,573.489293,0.06250000000000011
87,8.7,564.901236,0.943749999999995
88,8.8,567.763922,-0.19375000000000397
89,8.9,562.2359769999999,1.0999999999999996
90,9.0,568.948481,0.1812499999999968
91,9.1,564.407669,1.0062500000000008
92,9.2,570.5278940000001,0.41249999999999476
93,9.3,570.922747,0.5124999999999975
94,9.4,564.605096,1.0124999999999988
95,9.5,566.9742150000001,0.11874999999999947
96,9.6,566.875502,0.950000000000004
97,9.7,569.244621,0.4499999999999944
98,9.8,570.330467,-0.15624999999999906
99,9.9,566.283222,0.9374999999999998
100,10.0,564.605096,0.949999999999996
101,10.1,565.592229,0.012500000000001732
102,10.2,570.429181,0.3500000000000003
103,10.3,562.03855,1.0437499999999975
104,10.4,565.7896559999999,0.13749999999999662
105,10.5,571.5150269999999,-0.0437500000000004
106,10.6,561.939837,0.9687499999999957
107,10.7,563.124396,0.9249999999999982
108,10.8,565.7896559999999,0.08750000000000058
109,10.9,569.442048,0.4374999999999958
110,11.0,563.2231099999999,0.8374999999999974
111,11.1,565.2960889999999,-0.32499999999999973
112,11.2,561.2488440000001,0.849999999999999
113,11.3,563.321823,0.4375000000000038
114,11.4,565.493516,-0.006249999999995426
115,11.5,564.605096,0.9187500000000027
116,11.6,559.077151,1.1187500000000024
117,11.7,563.716676,-0.3625000000000047
118,11.8,558.484871,1.0999999999999996
119,11.9,566.1845089999999,-0.281249999999994
120,12.0,566.1845089999999,0.36249999999999927
121,12.1,562.433403,0.9062500000000039
122,12.2,565.3948019999999,0.22500000000000275
123,12.3,561.2488440000001,0.9500000000000014
124,12.4,566.9742150000001,-0.137500000000002
125,12.5,567.369068,0.4500000000000002
126,12.6,571.0214599999999,-0.06874999999999831
127,12.7,565.592229,0.8874999999999984
128,12.8,566.283222,0.8187499999999978
129,12.9,569.047194,0.3187499999999993
130,13.0,569.836901,0.6687499999999937
131,13.1,562.2359769999999,1.0437499999999922
132,13.2,569.6394740000001,0.24375000000000524
133,13.3,569.5407610000001,0.6750000000000005
134,13.4,563.2231099999999,0.9187500000000027
135,13.5,567.665208,0.7437499999999958
136,13.6,567.369068,0.14999999999999825
137,13.7,572.304733,0.5187499999999984
138,13.8,566.9742150000001,0.8062500000000042
139,13.9,569.442048,-0.1812500000000023
140,14.0,563.51925,1.2000000000000024
141,14.1,568.751055,-0.050000000000001266
142,14.2,564.605096,0.9999999999999972
143,14.3,569.343334,-0.3062499999999972
144,14.4,567.171642,0.09999999999999698
145,14.5,571.811167,-0.2687500000000032
