,Time(s),pressure_drop,labels
0,0.0,0.012499999999996292,182.1
1,0.1,-0.3500000000000031,182.0
2,0.2,0.39374999999999793,181.9
3,0.3,0.8687500000000015,181.9
4,0.4,-0.15625000000000178,181.6
5,0.5,0.13749999999999674,181.6
6,0.6,0.8062499999999986,181.4
7,0.7,0.1812499999999997,181.5
8,0.8,-0.1562499999999991,181.3
9,0.9,0.46250000000000147,181.2
10,1.0,0.9312499999999989,181.1
11,1.1,0.587500000000002,181.0
12,1.2,0.2187500000000019,180.8
13,1.3,0.8000000000000004,180.8
14,1.4,0.050000000000001266,180.6
15,1.5,0.6062499999999992,180.7
16,1.6,0.8687500000000016,180.5
17,1.7,-0.4812499999999935,180.4
18,1.8,0.4937500000000006,180.3
19,1.9,0.9999999999999972,180.3
20,2.0,0.7999999999999976,180.1
21,2.1,-0.049999999999995826,180.0
22,2.2,0.7562500000000025,179.9
23,2.3,0.9687499999999983,179.8
24,2.4,0.7375000000000032,179.6
25,2.5,-0.2062500000000002,179.7
26,2.6,0.23124999999999818,179.5
27,2.7,0.6187500000000005,179.4
28,2.8,0.9437500000000005,179.2
29,2.9,0.8749999999999996,179.2
30,3.0,-0.1812500000000024,179.1
31,3.1,0.15000000000000369,179.0
32,3.2,0.40624999999999967,178.8
33,3.3,0.8812499999999978,178.9
34,3.4,0.39999999999999897,178.7
35,3.5,0.03749999999999959,178.6
36,3.6,0.025000000000003686,178.4
37,3.7,0.34999999999999776,178.5
38,3.8,0.7437499999999956,178.3
39,3.9,0.6937500000000022,178.2
40,4.0,-0.3312500000000006,178.1
41,4.1,0.1562499999999991,178.1
42,4.2,0.4999999999999958,177.9
43,4.3,0.962500000000003,177.8
44,4.4,-0.06250000000000022,177.7
45,4.5,-0.11874999999999952,177.6
46,4.6,0.21249999999999558,177.4
47,4.7,0.8625000000000007,177.4
48,4.8,0.8250000000000012,177.3
49,4.9,0.20625000000000027,177.2
50,5.0,0.3937499999999984,177.0
51,5.1,0.9000000000000002,177.1
